FromNodeNumber	ToNodeNumber	RoutingType	LoadType	MoveNumber	Speed	APlusMacro	EstimatedMoveTime	Distance	Cost	MaxLockTo	DetourAPlusMacro
2508	4049	AGV	ALL	25084049	1000	M25084049	0	4302	0	0	
9221	9220	AGV	ALL	92219220	600	M92219220	0	2099	0	0	
2518	4527	AGV	ALL	25184527	600	M25184527	0	6482	0	0	
2526	2056	AGV	ALL	25262056	600	M25262056	0	8473	0	0	
9300	9301	AGV	ALL	93009301	400	M93009301	0	1567	0	0	
9301	9302	AGV	ALL	93019302	500	M93019302	0	3140	0	0	
9302	3047	AGV	ALL	93023047	600	M93023047	0	3709	0	0	
2539	7630	AGV	ALL	25397630	-500	M25397630	0	4359	0	0	
9310	9311	AGV	ALL	93109311	-500	M93109311	0	769	0	0	
9311	9310	AGV	ALL	93119310	400	M93119310	0	769	0	0	
2548	7640	AGV	ALL	25487640	-500	M25487640	0	4181	0	0	
9330	9331	AGV	ALL	93309331	-500	M93309331	0	832	0	0	
9331	9330	AGV	ALL	93319330	400	M93319330	0	832	0	0	
9331	9332	AGV	ALL	93319332	-500	M93319332	0	1023	0	0	
9332	4009	AGV	ALL	93324009	600	M93324009	0	5701	0	0	
9332	9331	AGV	ALL	93329331	1000	M93329331	0	1023	0	0	
9340	9342	AGV	ALL	93409342	500	M93409342	0	2131	0	0	
9341	9340	AGV	ALL	93419340	400	M93419340	0	1953	0	0	
9342	3536	AGV	ALL	93423536	700	M93423536	0	5484	0	0	
9350	9352	AGV	ALL	93509352	500	M93509352	0	3404	0	0	
9351	9350	AGV	ALL	93519350	400	M93519350	0	2145	0	0	
9352	3561	AGV	ALL	93523561	600	M93523561	0	3470	0	0	
9500	4036	AGV	ALL	95004036	600	M95004036	0	4318	0	0	
9500	9501	AGV	ALL	95009501	-500	M95009501	0	5614	0	0	
9501	9500	AGV	ALL	95019500	1000	M95019500	0	5614	0	0	
9502	9503	AGV	ALL	95029503	1000	M95029503	0	5614	0	0	
9503	9501	AGV	ALL	95039501	-20	M95039501	0	0	0	0	
3569	6080	AGV	ALL	35696080	-500	M35696080	0	3720	0	0	
3572	6100	AGV	ALL	35726100	-500	M35726100	0	3729	0	0	
3754	7600	AGV	ALL	37547600	-500	M37547600	0	4036	0	0	
3756	7610	AGV	ALL	37567610	-500	M37567610	0	4121	0	0	
5010	3055	AGV	ALL	50103055	600	M50103055	0	4023	0	0	
5020	2005	AGV	ALL	50202005	600	M50202005	0	3820	0	0	
5030	3053	AGV	ALL	50303053	600	M50303053	0	4018	0	0	
5040	2007	AGV	ALL	50402007	600	M50402007	0	4036	0	0	
5050	3051	AGV	ALL	50503051	600	M50503051	0	4184	0	0	
5060	2012	AGV	ALL	50602012	600	M50602012	0	3887	0	0	
5070	3046	AGV	ALL	50703046	600	M50703046	0	4813	0	0	
5080	2014	AGV	ALL	50802014	600	M50802014	0	3734	0	0	
5090	3044	AGV	ALL	50903044	600	M50903044	0	4770	0	0	
5100	2016	AGV	ALL	51002016	600	M51002016	0	3920	0	0	
5130	3044	AGV	ALL	51303044	700	M51303044	0	4670	0	0	
5140	3046	AGV	ALL	51403046	700	M51403046	0	4699	0	0	
5150	3051	AGV	ALL	51503051	700	M51503051	0	5423	0	0	
5160	3053	AGV	ALL	51603053	700	M51603053	0	5310	0	0	
5170	3055	AGV	ALL	51703055	700	M51703055	0	5391	0	0	
5340	2020	AGV	ALL	53402020	600	M53402020	0	3773	0	0	
5350	3039	AGV	ALL	53503039	600	M53503039	0	4075	0	0	
5360	2022	AGV	ALL	53602022	600	M53602022	0	3747	0	0	
5370	3037	AGV	ALL	53703037	600	M53703037	0	4008	0	0	
5380	2024	AGV	ALL	53802024	600	M53802024	0	3788	0	0	
5390	3035	AGV	ALL	53903035	600	M53903035	0	4015	0	0	
5400	2030	AGV	ALL	54002030	600	M54002030	0	4062	0	0	
5410	3029	AGV	ALL	54103029	600	M54103029	0	4785	0	0	
5420	2032	AGV	ALL	54202032	600	M54202032	0	3754	0	0	
5430	3027	AGV	ALL	54303027	600	M54303027	0	4955	0	0	
5430	5431	AGV	ALL	54305431	-500	M54305431	0	1783	0	0	
5431	5430	AGV	ALL	54315430	1000	M54315430	0	1783	0	0	
5440	2035	AGV	ALL	54402035	600	M54402035	0	3811	0	0	
5450	3025	AGV	ALL	54503025	600	M54503025	0	5115	0	0	
5470	3027	AGV	ALL	54703027	700	M54703027	0	4808	0	0	
5480	3029	AGV	ALL	54803029	700	M54803029	0	4643	0	0	
5490	3035	AGV	ALL	54903035	700	M54903035	0	5132	0	0	
5500	3037	AGV	ALL	55003037	700	M55003037	0	5268	0	0	
5510	3039	AGV	ALL	55103039	700	M55103039	0	5407	0	0	
5820	5822	AGV	ALL	58205822	1000	M58205822	0	1815	0	0	
5822	3257	AGV	ALL	58223257	20	M58223257	0	0	0	0	
5822	5820	AGV	ALL	58225820	-500	M58225820	0	1815	0	0	
6000	3551	AGV	ALL	60003551	600	M60003551	0	3830	0	0	
6010	2517	AGV	ALL	60102517	600	M60102517	0	3868	0	0	
6020	3555	AGV	ALL	60203555	600	M60203555	0	3882	0	0	
6030	2515	AGV	ALL	60302515	600	M60302515	0	3939	0	0	
6040	3558	AGV	ALL	60403558	600	M60403558	0	3600	0	0	
6050	2513	AGV	ALL	60502513	600	M60502513	0	4358	0	0	
6060	3567	AGV	ALL	60603567	600	M60603567	0	3735	0	0	
6070	2507	AGV	ALL	60702507	600	M60702507	0	4406	0	0	
6080	3569	AGV	ALL	60803569	600	M60803569	0	3720	0	0	
6090	2505	AGV	ALL	60902505	600	M60902505	0	4600	0	0	
6100	3572	AGV	ALL	61003572	600	M61003572	0	3729	0	0	
6110	2502	AGV	ALL	61102502	600	M61102502	0	4636	0	0	
6130	2515	AGV	ALL	61302515	600	M61302515	0	5114	0	0	
6140	2513	AGV	ALL	61402513	700	M61402513	0	5847	0	0	
6150	2507	AGV	ALL	61502507	700	M61502507	0	4310	0	0	
6170	2502	AGV	ALL	61702502	700	M61702502	0	4412	0	0	
6340	3529	AGV	ALL	63403529	600	M63403529	0	3760	0	0	
6350	2535	AGV	ALL	63502535	600	M63502535	0	3899	0	0	
6360	3532	AGV	ALL	63603532	600	M63603532	0	4104	0	0	
6370	2533	AGV	ALL	63702533	600	M63702533	0	3882	0	0	
6380	3534	AGV	ALL	63803534	600	M63803534	0	3828	0	0	
6390	2531	AGV	ALL	63902531	600	M63902531	0	4338	0	0	
6400	3540	AGV	ALL	64003540	600	M64003540	0	3810	0	0	
6400	6401	AGV	ALL	64006401	-500	M64006401	0	1788	0	0	
6401	6400	AGV	ALL	64016400	1000	M64016400	0	1788	0	0	
6410	2525	AGV	ALL	64102525	600	M64102525	0	4145	0	0	
6410	6411	AGV	ALL	64106411	-500	M64106411	0	1809	0	0	
6411	6410	AGV	ALL	64116410	1000	M64116410	0	1809	0	0	
6420	3542	AGV	ALL	64203542	600	M64203542	0	3814	0	0	
6430	2523	AGV	ALL	64302523	600	M64302523	0	4349	0	0	
6440	3545	AGV	ALL	64403545	600	M64403545	0	4768	0	0	
6450	2521	AGV	ALL	64502521	600	M64502521	0	4624	0	0	
6470	2533	AGV	ALL	64702533	700	M64702533	0	5022	0	0	
6480	2531	AGV	ALL	64802531	700	M64802531	0	5684	0	0	
6490	2525	AGV	ALL	64902525	700	M64902525	0	4021	0	0	
6500	2523	AGV	ALL	65002523	700	M65002523	0	4256	0	0	
6510	2521	AGV	ALL	65102521	700	M65102521	0	4442	0	0	
6660	3503	AGV	ALL	66603503	600	M66603503	0	3547	0	0	
6670	2553	AGV	ALL	66702553	600	M66702553	0	3769	0	0	
6680	3505	AGV	ALL	66803505	600	M66803505	0	3810	0	0	
6690	2551	AGV	ALL	66902551	600	M66902551	0	3873	0	0	
6700	3507	AGV	ALL	67003507	600	M67003507	0	3433	0	0	
6710	2549	AGV	ALL	67102549	600	M67102549	0	4267	0	0	
6720	3516	AGV	ALL	67203516	600	M67203516	0	3214	0	0	
6730	2543	AGV	ALL	67302543	600	M67302543	0	5223	0	0	
6740	3520	AGV	ALL	67403520	600	M67403520	0	3267	0	0	
6750	2541	AGV	ALL	67502541	600	M67502541	0	4337	0	0	
6760	3524	AGV	ALL	67603524	600	M67603524	0	3194	0	0	
6770	2539	AGV	ALL	67702539	600	M67702539	0	4335	0	0	
