FromNodeNumber	ToNodeNumber	RoutingType	LoadType	MoveNumber	Speed	APlusMacro	EstimatedMoveTime	Distance	Cost	MaxLockTo	DetourAPlusMacro
653	655	APL	ALL	6530655	50	M06530655	0	700	0	0	
654	651	APL	ALL	6540651	50	M06540651	0	1400	0	0	
654	652	APL	ALL	6540652	50	M06540652	0	700	0	0	
654	653	APL	ALL	6540653	50	M06540653	0	2100	0	0	
654	655	APL	ALL	6540655	50	M06540655	0	2800	0	0	
655	651	APL	ALL	6550651	-50	M06550651	0	1399	0	0	
655	652	APL	ALL	6550652	-50	M06550652	0	2100	0	0	
655	653	APL	ALL	6550653	-50	M06550653	0	700	0	0	
655	654	APL	ALL	6550654	-50	M06550654	0	2800	0	0	
661	662	APL	ALL	6610662	-50	M06610662	0	699	0	0	
661	663	APL	ALL	6610663	50	M06610663	0	700	0	0	
661	664	APL	ALL	6610664	-50	M06610664	0	1399	0	0	
661	665	APL	ALL	6610665	50	M06610665	0	1399	0	0	
662	661	APL	ALL	6620661	50	M06620661	0	699	0	0	
662	663	APL	ALL	6620663	50	M06620663	0	1399	0	0	
662	664	APL	ALL	6620664	-50	M06620664	0	700	0	0	
662	665	APL	ALL	6620665	50	M06620665	0	2099	0	0	
663	661	APL	ALL	6630661	-50	M06630661	0	700	0	0	
663	662	APL	ALL	6630662	-50	M06630662	0	1399	0	0	
663	664	APL	ALL	6630664	-50	M06630664	0	2100	0	0	
663	665	APL	ALL	6630665	50	M06630665	0	699	0	0	
664	661	APL	ALL	6640661	50	M06640661	0	1399	0	0	
664	662	APL	ALL	6640662	50	M06640662	0	700	0	0	
664	663	APL	ALL	6640663	50	M06640663	0	2100	0	0	
664	665	APL	ALL	6640665	50	M06640665	0	2799	0	0	
665	661	APL	ALL	6650661	-50	M06650661	0	1399	0	0	
665	662	APL	ALL	6650662	-50	M06650662	0	2099	0	0	
665	663	APL	ALL	6650663	-50	M06650663	0	699	0	0	
665	664	APL	ALL	6650664	-50	M06650664	0	2799	0	0	
671	672	APL	ALL	6710672	-50	M06710672	0	700	0	0	
671	673	APL	ALL	6710673	50	M06710673	0	699	0	0	
671	674	APL	ALL	6710674	-50	M06710674	0	1399	0	0	
671	675	APL	ALL	6710675	50	M06710675	0	1399	0	0	
672	671	APL	ALL	6720671	50	M06720671	0	700	0	0	
672	673	APL	ALL	6720673	50	M06720673	0	1399	0	0	
672	674	APL	ALL	6720674	-50	M06720674	0	699	0	0	
672	675	APL	ALL	6720675	50	M06720675	0	2100	0	0	
673	671	APL	ALL	6730671	-50	M06730671	0	699	0	0	
673	672	APL	ALL	6730672	-50	M06730672	0	1399	0	0	
673	674	APL	ALL	6730674	-50	M06730674	0	2099	0	0	
673	675	APL	ALL	6730675	50	M06730675	0	700	0	0	
674	671	APL	ALL	6740671	50	M06740671	0	1399	0	0	
674	672	APL	ALL	6740672	50	M06740672	0	699	0	0	
674	673	APL	ALL	6740673	50	M06740673	0	2099	0	0	
674	675	APL	ALL	6740675	50	M06740675	0	2799	0	0	
675	671	APL	ALL	6750671	-50	M06750671	0	1399	0	0	
675	672	APL	ALL	6750672	-50	M06750672	0	2100	0	0	
675	673	APL	ALL	6750673	-50	M06750673	0	700	0	0	
675	674	APL	ALL	6750674	-50	M06750674	0	2799	0	0	
681	682	APL	ALL	6810682	-50	M06810682	0	699	0	0	
681	683	APL	ALL	6810683	50	M06810683	0	700	0	0	
681	684	APL	ALL	6810684	-50	M06810684	0	1399	0	0	
681	685	APL	ALL	6810685	50	M06810685	0	1400	0	0	
682	681	APL	ALL	6820681	50	M06820681	0	699	0	0	
682	683	APL	ALL	6820683	50	M06820683	0	1399	0	0	
682	684	APL	ALL	6820684	-50	M06820684	0	700	0	0	
682	685	APL	ALL	6820685	50	M06820685	0	2100	0	0	
683	681	APL	ALL	6830681	-50	M06830681	0	700	0	0	
683	682	APL	ALL	6830682	-50	M06830682	0	1399	0	0	
683	684	APL	ALL	6830684	-50	M06830684	0	2100	0	0	
683	685	APL	ALL	6830685	50	M06830685	0	700	0	0	
684	681	APL	ALL	6840681	50	M06840681	0	1399	0	0	
684	682	APL	ALL	6840682	50	M06840682	0	700	0	0	
684	683	APL	ALL	6840683	50	M06840683	0	2100	0	0	
684	685	APL	ALL	6840685	50	M06840685	0	2800	0	0	
685	681	APL	ALL	6850681	-50	M06850681	0	1400	0	0	
685	682	APL	ALL	6850682	-50	M06850682	0	2100	0	0	
685	683	APL	ALL	6850683	-50	M06850683	0	700	0	0	
685	684	APL	ALL	6850684	-50	M06850684	0	2800	0	0	
691	692	APL	ALL	6910692	-50	M06910692	0	700	0	0	
691	693	APL	ALL	6910693	50	M06910693	0	700	0	0	
691	694	APL	ALL	6910694	-50	M06910694	0	1400	0	0	
691	695	APL	ALL	6910695	50	M06910695	0	1400	0	0	
692	691	APL	ALL	6920691	50	M06920691	0	700	0	0	
692	693	APL	ALL	6920693	50	M06920693	0	1400	0	0	
692	694	APL	ALL	6920694	-50	M06920694	0	700	0	0	
